Ortsnetzkennzahl;Ortsnetzname;KennzeichenAktiv
201;Essen;1
202;Wuppertal;1
203;Duisburg;1
2041;Bottrop;1
2043;Gladbeck;1
2045;Bottrop-Kirchhellen;1
2051;Velbert;1
2052;Velbert-Langenberg;1
2053;Velbert-Neviges;1
2054;Essen-Kettwig;1
2056;Heiligenhaus;1
2058;Wülfrath;1
2064;Dinslaken;1
2065;Duisburg-Rheinhausen;1
2066;Duisburg-Homberg;1
208;Oberhausen Rheinl;1
209;Gelsenkirchen;1
2102;Ratingen;1
2103;Hilden;1
2104;Mettmann;1
211;Düsseldorf;1
212;Solingen;1
2129;Haan Rheinl;1
2131;Neuss;1
2132;Meerbusch-Büderich;1
2133;Dormagen;1
2137;Neuss-Norf;1
214;Leverkusen;1
2150;Meerbusch-Lank;1
2151;Krefeld;1
2152;Kempen;1
2153;Nettetal-Lobberich;1
2154;Willich;1
2156;Willich-Anrath;1
2157;Nettetal-Kaldenkirchen;1
2158;Grefrath b Krefeld;1
2159;Meerbusch-Osterath;1
2161;Mönchengladbach;1
2162;Viersen;1
2163;Schwalmtal Niederrhein;1
2164;Jüchen-Otzenrath;1
2165;Jüchen;1
2166;Mönchengladbach-Rheydt;1
2171;Leverkusen-Opladen;1
2173;Langenfeld Rheinland;1
2174;Burscheid Rheinl;1
2175;Leichlingen Rheinland;1
2181;Grevenbroich;1
2182;Grevenbroich-Kapellen;1
2183;Rommerskirchen;1
2191;Remscheid;1
2192;Hückeswagen;1
2193;Dabringhausen;1
2195;Radevormwald;1
2196;Wermelskirchen;1
2202;Bergisch Gladbach;1
2203;Köln-Porz;1
2204;Bensberg;1
2205;Rösrath;1
2206;Overath;1
2207;Kürten-Dürscheid;1
2208;Niederkassel;1
221;Köln;1
2222;Bornheim Rheinl;1
2223;Königswinter;1
2224;Bad Honnef;1
2225;Meckenheim Rheinl;1
2226;Rheinbach;1
2227;Bornheim-Merten;1
2228;Remagen-Rolandseck;1
2232;Brühl Rheinl;1
2233;Hürth Rheinl;1
2234;Frechen;1
2235;Erftstadt;1
2236;Wesseling Rheinl;1
2237;Kerpen Rheinl-Türnich;1
2238;Pulheim;1
2241;Siegburg;1
2242;Hennef Sieg;1
2243;Eitorf;1
2244;Königswinter-Oberpleis;1
2245;Much;1
2246;Lohmar Rheinland;1
2247;Neunkirchen-Seelscheid;1
2248;Hennef-Uckerath;1
2251;Euskirchen;1
2252;Zülpich;1
2253;Bad Münstereifel;1
2254;Weilerswist;1
