"prefix";"maxLength";"minLength";"usage";"info"
"10";"10";"6";"Geographic numbers";"Genova"
"11";"10";"6";"Geographic numbers";"Torino"
"121";"10";"6";"Geographic numbers";"Pinerolo"
"122";"10";"6";"Geographic numbers";"Susa"
"123";"10";"6";"Geographic numbers";"Lanzo Torinese"
"124";"10";"6";"Geographic numbers";"Rivarolo Canavese"
"125";"10";"6";"Geographic numbers";"Ivrea"
"131";"10";"6";"Geographic numbers";"Alessandria"
"141";"10";"6";"Geographic numbers";"Asti"
"142";"10";"6";"Geographic numbers";"Casale Monferrato"
"143";"10";"6";"Geographic numbers";"Novi Ligure"
"144";"10";"6";"Geographic numbers";"Acqui Terme"
"15";"10";"6";"Geographic numbers";"Biella"
"160";;;"Used only to create CLI in case of emergency call from mobile terminal without SIM/USIM ";
"161";"10";"6";"Geographic numbers";"Vercelli"
"163";"10";"6";"Geographic numbers";"Borgosesia"
"165";"10";"6";"Geographic numbers";"Aosta"
"166";"10";"6";"Geographic numbers";"St. Vincent"
"171";"10";"6";"Geographic numbers";"Cuneo"
"172";"10";"6";"Geographic numbers";"Savigliano"
"173";"10";"6";"Geographic numbers";"Alba"
"174";"10";"6";"Geographic numbers";"Mondovi'"
"175";"10";"6";"Geographic numbers";"Saluzzo"
"182";"10";"6";"Geographic numbers";"Albenga"
"183";"10";"6";"Geographic numbers";"Imperia"
"184";"10";"6";"Geographic numbers";"San remo"
"185";"10";"6";"Geographic numbers";"Rapallo"
"187";"10";"6";"Geographic numbers";"La Spezia"
"19";"10";"6";"Geographic numbers";"Savona"
"2";"10";"6";"Geographic numbers";"Milano"
"30";"10";"6";"Geographic numbers";"Brescia"
"31";"10";"6";"Geographic numbers";"Como"
"321";"10";"6";"Geographic numbers";"Novara"
"322";"10";"6";"Geographic numbers";"Arona"
"323";"10";"6";"Geographic numbers";"Baveno"
"324";"10";"6";"Geographic numbers";"Domodossola"
"331";"10";"6";"Geographic numbers";"Busto Arsizio"
"332";"10";"6";"Geographic numbers";"Varese"
"341";"10";"6";"Geographic numbers";"Lecco"
"342";"10";"6";"Geographic numbers";"Sondrio"
"343";"10";"6";"Geographic numbers";"Chiavenna"
"344";"10";"6";"Geographic numbers";"Menaggio"
"345";"10";"6";"Geographic numbers";"S. Pellegrino Terme"
"346";"10";"6";"Geographic numbers";"Clusone"
"35";"10";"6";"Geographic numbers";"Bergamo"
"362";"10";"6";"Geographic numbers";"Seregno"
"363";"10";"6";"Geographic numbers";"Treviglio"
"364";"10";"6";"Geographic numbers";"Breno"
"365";"10";"6";"Geographic numbers";"Salò"
"369";"10";"6";"Geographic numbers";"Milano for mass call, until 31st December 2014"
"371";"10";"6";"Geographic numbers";"Lodi"
"372";"10";"6";"Geographic numbers";"Cremona"
"373";"10";"6";"Geographic numbers";"Crema"
"374";"10";"6";"Geographic numbers";"Soresina"
"375";"10";"6";"Geographic numbers";"Casalmaggiore"
"376";"10";"6";"Geographic numbers";"Mantova"
"377";"10";"6";"Geographic numbers";"Codogno"
"381";"10";"6";"Geographic numbers";"Vigevano"
"382";"10";"6";"Geographic numbers";"Pavia"
"383";"10";"6";"Geographic numbers";"Voghera"
"384";"10";"6";"Geographic numbers";"Mortara"
"385";"10";"6";"Geographic numbers";"Stradella"
"386";"10";"6";"Geographic numbers";"Ostiglia"
"39";"10";"6";"Geographic numbers";"Monza"
"40";"10";"6";"Geographic numbers";"Trieste"
"41";"10";"6";"Geographic numbers";"Venezia (Mestre)"
"421";"10";"6";"Geographic numbers";"S. Dona' di Piave"
"422";"10";"6";"Geographic numbers";"Treviso"
"423";"10";"6";"Geographic numbers";"Montebelluna"
"424";"10";"6";"Geographic numbers";"Bassano del Grappa"
"425";"10";"6";"Geographic numbers";"Rovigo"
"426";"10";"6";"Geographic numbers";"Adria"
"427";"10";"6";"Geographic numbers";"Spilimbergo"
"428";"10";"6";"Geographic numbers";"Tarvisio"
"429";"10";"6";"Geographic numbers";"Este"
"431";"10";"6";"Geographic numbers";"Cervignano del Friuli"
"432";"10";"6";"Geographic numbers";"Udine"
"433";"10";"6";"Geographic numbers";"Tolmezzo"
"434";"10";"6";"Geographic numbers";"Pordenone"
"435";"10";"6";"Geographic numbers";"Pieve di Cadore"
"436";"10";"6";"Geographic numbers";"Cortina d'Ampezzo"
"437";"10";"6";"Geographic numbers";"Belluno"
"438";"10";"6";"Geographic numbers";"Conegliano"
"439";"10";"6";"Geographic numbers";"Feltre"
"442";"10";"6";"Geographic numbers";"Legnago"
"444";"10";"6";"Geographic numbers";"Vicenza"
"445";"10";"6";"Geographic numbers";"Schio"
"45";"10";"6";"Geographic numbers";"Verona"
"461";"10";"6";"Geographic numbers";"Trento"
"462";"10";"6";"Geographic numbers";"Cavalese"
"463";"10";"6";"Geographic numbers";"Cles"
"464";"10";"6";"Geographic numbers";"Rovereto"
"465";"10";"6";"Geographic numbers";"Tione di Trento"
"471";"10";"6";"Geographic numbers";"Bolzano"
"472";"10";"6";"Geographic numbers";"Bressanone"
"473";"10";"6";"Geographic numbers";"Merano"
"474";"10";"6";"Geographic numbers";"Brunico"
"481";"10";"6";"Geographic numbers";"Gorizia"
"49";"10";"6";"Geographic numbers";"Padova"
"50";"10";"6";"Geographic numbers";"Pisa"
"51";"10";"6";"Geographic numbers";"Bologna"
"521";"10";"6";"Geographic numbers";"Parma"
"522";"10";"6";"Geographic numbers";"Reggio nell'Emilia"
"523";"10";"6";"Geographic numbers";"Piacenza"
"524";"10";"6";"Geographic numbers";"Fidenza"
"525";"10";"6";"Geographic numbers";"Fornovo di Taro"
"532";"10";"6";"Geographic numbers";"Ferrara"
"533";"10";"6";"Geographic numbers";"Comacchio"
"534";"10";"6";"Geographic numbers";"Porretta Terme"
"535";"10";"6";"Geographic numbers";"Mirandola"
"536";"10";"6";"Geographic numbers";"Sassuolo"
"541";"10";"6";"Geographic numbers";"Rimini"
"542";"10";"6";"Geographic numbers";"Imola"
"543";"10";"6";"Geographic numbers";"Forlì"
"544";"10";"6";"Geographic numbers";"Ravenna"
"545";"10";"6";"Geographic numbers";"Lugo"
"546";"10";"6";"Geographic numbers";"Faenza"
"547";"10";"6";"Geographic numbers";"Cesena"
"549";"10";"6";"Geographic numbers";"S. Marino (Rep. di)"
"55";"10";"6";"Geographic numbers";"Firenze"
"564";"10";"6";"Geographic numbers";"Grosseto"
"565";"10";"6";"Geographic numbers";"Piombino"
"566";"10";"6";"Geographic numbers";"Follonica"
"571";"10";"6";"Geographic numbers";"Empoli"
"572";"10";"6";"Geographic numbers";"Montecatini Terme"
"573";"10";"6";"Geographic numbers";"Pistoia"
"574";"10";"6";"Geographic numbers";"Prato"
