prefix;maxDigits;minDigits;usage;info
1;13;4;local network code;Wien
2142;13;7;local network code;Gattendorf
2143;13;7;local network code;Kittsee
2144;13;7;local network code;Deutsch Jahrndorf
2145;13;7;local network code;Prellenkirchen
2146;13;7;local network code;Nickelsdorf
2147;13;7;local network code;Zurndorf
2160;13;7;local network code;Jois
2162;13;7;local network code;Bruck an der Leitha
2163;13;7;local network code;Petronell-Carnuntum
2164;13;7;local network code;Rohrau
2165;13;7;local network code;Hainburg a.d. Donau
2166;13;7;local network code;Parndorf
2167;13;7;local network code;Neusiedl am See
2168;13;7;local network code;Mannersdorf am Leithagebirge
2169;13;7;local network code;Trautmannsdorf an der Leitha
2172;13;7;local network code;Frauenkirchen
2173;13;7;local network code;Gols
2174;13;7;local network code;Wallern im Burgenland
2175;13;7;local network code;Apetlon
2176;13;7;local network code;Tadten
2177;13;7;local network code;Podersdorf am See
2212;13;7;local network code;Orth an der Donau
2213;13;7;local network code;Lassee
2214;13;7;local network code;Kopfstetten
2215;13;7;local network code;Probstdorf
2216;13;7;local network code;Leopoldsdorf im Marchfelde
2230;13;7;local network code;Schwadorf
2231;13;7;local network code;Purkersdorf
2232;13;7;local network code;Fischamend
2233;13;7;local network code;Preßbaum
2234;13;7;local network code;Gramatneusiedl
2235;13;7;local network code;Maria-Lanzendorf
2236;13;7;local network code;Mödling
2237;13;7;local network code;Gaaden
2238;13;7;local network code;Kaltenleutgeben
2239;13;7;local network code;Breitenfurt bei Wien
2242;13;7;local network code;Sankt Andrä-Wördern
2243;13;7;local network code;Klosterneuburg
2244;13;7;local network code;Langenzersdorf
2245;13;7;local network code;Wolkersdorf im Weinviertel
2246;13;7;local network code;Gerasdorf bei Wien
2247;13;7;local network code;Deutsch-Wagram
2248;13;7;local network code;Markgrafneusiedl
2249;13;7;local network code;Groß-Enzersdorf
2252;13;7;local network code;Baden
2253;13;7;local network code;Oberwaltersdorf
2254;13;7;local network code;Ebreichsdorf
2255;13;7;local network code;Deutsch Brodersdorf
2256;13;7;local network code;Leobersdorf
2257;13;7;local network code;Klausen-Leopoldsdorf
2258;13;7;local network code;Alland
2259;13;7;local network code;Münchendorf
2262;13;7;local network code;Korneuburg
2263;13;7;local network code;Großrußbach
2264;13;7;local network code;Rückersdorf (Harmannsdorf)
2265;13;7;local network code;Hausleiten
2266;13;7;local network code;Stockerau
2267;13;7;local network code;Sierndorf
2268;13;7;local network code;Großmugl
2269;13;7;local network code;Niederfellabrunn
2271;13;7;local network code;Ried am Riederberg
2272;13;7;local network code;Tulln an der Donau
2273;13;7;local network code;Tulbing
2274;13;7;local network code;Sieghartskirchen
2275;13;7;local network code;Atzenbrugg
2276;13;7;local network code;Reidling
2277;13;7;local network code;Zwentendorf
2278;13;7;local network code;Absdorf
2279;13;7;local network code;Kirchberg am Wagram
2282;13;7;local network code;Gänserndorf
2283;13;7;local network code;Angern an der March
2284;13;7;local network code;Oberweiden
2285;13;7;local network code;Marchegg
2286;13;7;local network code;Obersiebenbrunn
2287;13;7;local network code;Strasshof an der Nordbahn
2288;13;7;local network code;Auersthal
2289;13;7;local network code;Matzen
2522;13;7;local network code;Laa an der Thaya
2523;13;7;local network code;Kirchstetten (Neudorf bei Staatz)
2524;13;7;local network code;Kautendorf
2525;13;7;local network code;Gnadendorf
2526;13;7;local network code;Stronsdorf
2527;13;7;local network code;Wulzeshofen
2532;13;7;local network code;Zistersdorf
2533;13;7;local network code;Neusiedl an der Zaya
2534;13;7;local network code;Niedersulz
2535;13;7;local network code;Hohenau an der March
2536;13;7;local network code;Drösing
2538;13;7;local network code;Velm-Götzendorf
2552;13;7;local network code;Poysdorf
2554;13;7;local network code;Stützenhofen
2555;13;7;local network code;Herrnbaumgarten
2556;13;7;local network code;Großkrut
2557;13;7;local network code;Bernhardsthal
2572;13;7;local network code;Mistelbach
2573;13;7;local network code;Wilfersdorf
2574;13;7;local network code;Gaweinstal
2575;13;7;local network code;Ladendorf
2576;13;7;local network code;Ernstbrunn
2577;13;7;local network code;Asparn an der Zaya
2610;13;7;local network code;Horitschon
2611;13;7;local network code;Mannersdorf an der Rabnitz
2612;13;7;local network code;Oberpullendorf
2613;13;7;local network code;Deutschkreutz
2614;13;7;local network code;Kleinwarasdorf
2615;13;7;local network code;Lutzmannsburg
2616;13;7;local network code;Lockenhaus
2617;13;7;local network code;Draßmarkt
2618;13;7;local network code;Markt Sankt Martin
2619;13;7;local network code;Lackendorf
2620;13;7;local network code;Willendorf
2621;13;7;local network code;Sieggraben
2622;13;7;local network code;Wiener Neustadt
2623;13;7;local network code;Pottendorf
2624;13;7;local network code;Ebenfurth
2625;13;7;local network code;Bad Sauerbrunn
2626;13;7;local network code;Mattersburg
2627;13;7;local network code;Pitten
2628;13;7;local network code;Felixdorf
2629;13;7;local network code;Warth (Niederösterreich)
2630;13;7;local network code;Ternitz
2631;13;7;local network code;Pöttsching
2632;13;7;local network code;Pernitz
2633;13;7;local network code;Markt Piesting
2634;13;7;local network code;Gutenstein
2635;13;7;local network code;Neunkirchen
2636;13;7;local network code;Puchberg am Schneeberg
2637;13;7;local network code;Grünbach am Schneeberg
2638;13;7;local network code;Winzendorf-Muthmannsdorf
2639;13;7;local network code;Bad Fischau
2641;13;7;local network code;Kirchberg am Wechsel
2642;13;7;local network code;Aspangberg-Sankt Peter
2643;13;7;local network code;Lichtenegg
2644;13;7;local network code;Grimmenstein
2645;13;7;local network code;Wiesmath
2646;13;7;local network code;Kirchschlag in der Buckligen Welt
2647;13;7;local network code;Krumbach (Niederösterreich)
2648;13;7;local network code;Hochneukirchen
2649;13;7;local network code;Mönichkirchen
2662;13;7;local network code;Gloggnitz
2663;13;7;local network code;Schottwien
2664;13;7;local network code;Semmering
2665;13;7;local network code;Prein an der Rax
2666;13;7;local network code;Reichenau
2667;13;7;local network code;Schwarzau im Gebirge
2672;13;7;local network code;Berndorf
2673;13;7;local network code;Altenmarkt an der Triesting
2674;13;7;local network code;Weißenbach an der Triesting
2680;13;7;local network code;Sankt Margarethen im Burgenland
2682;13;7;local network code;Eisenstadt
2683;13;7;local network code;Purbach am Neusiedler See
2684;13;7;local network code;Schützen am Gebirge
2685;13;7;local network code;Rust
2686;13;7;local network code;Draßburg
2687;13;7;local network code;Siegendorf
2688;13;7;local network code;Steinbrunn
2689;13;7;local network code;Hornstein
2711;13;7;local network code;Dürnstein
2712;13;7;local network code;Aggsbach
2713;13;7;local network code;Spitz
2714;13;7;local network code;Rossatz
2715;13;7;local network code;Weißenkirchen in der Wachau
2716;13;7;local network code;Gföhl
2717;13;7;local network code;Unter-Meisling
2718;13;7;local network code;Lichtenau im Waldviertel
2719;13;7;local network code;Droß
2722;13;7;local network code;Kirchberg an der Pielach
2723;13;7;local network code;Rabenstein an der Pielach
2724;13;7;local network code;Schwarzenbach an der Pielach
2725;13;7;local network code;Frankenfels
2726;13;7;local network code;Puchenstuben
2728;13;7;local network code;Wienerbruck
2731;13;7;local network code;Idolsberg
2732;13;7;local network code;Krems an der Donau
2733;13;7;local network code;Schönberg am Kamp
2734;13;7;local network code;Langenlois
2735;13;7;local network code;Hadersdorf am Kamp
2736;13;7;local network code;Paudorf
2738;13;7;local network code;Fels am Wagram
2739;13;7;local network code;Tiefenfucha
2741;13;7;local network code;Flinsbach
2742;13;7;local network code;Sankt Pölten
2743;13;7;local network code;Böheimkirchen
2744;13;7;local network code;Kasten bei Böheimkirchen
2745;13;7;local network code;Pyhra
2746;13;7;local network code;Wilhelmsburg
2747;13;7;local network code;Ober-Grafendorf
2748;13;7;local network code;Kilb
2749;13;7;local network code;Prinzersdorf
2752;13;7;local network code;Melk
2753;13;7;local network code;Gansbach
2754;13;7;local network code;Loosdorf
2755;13;7;local network code;Mank
2756;13;7;local network code;Sankt Leonhard am Forst
2757;13;7;local network code;Pöchlarn
2758;13;7;local network code;Pöggstall
2762;13;7;local network code;Lilienfeld
2763;13;7;local network code;Sankt Veit an der Gölsen
2764;13;7;local network code;Hainfeld
2765;13;7;local network code;Kaumberg
2766;13;7;local network code;Kleinzell
2767;13;7;local network code;Hohenberg
2768;13;7;local network code;Sankt Aegyd am Neuwalde
2769;13;7;local network code;Türnitz
2772;13;7;local network code;Neulengbach
2773;13;7;local network code;Eichgraben
2774;13;7;local network code;Innermanzing
2782;13;7;local network code;Herzogenburg
2783;13;7;local network code;Traismauer
2784;13;7;local network code;Perschling
2786;13;7;local network code;Oberwölbling
2812;13;7;local network code;Groß Gerungs
2813;13;7;local network code;Arbesbach
2814;13;7;local network code;Langschlag
2815;13;7;local network code;Großschönau
2816;13;7;local network code;Karlstift
2822;13;7;local network code;Zwettl-Niederösterreich
2823;13;7;local network code;Großglobnitz
2824;13;7;local network code;Allentsteig
2825;13;7;local network code;Göpfritz an der Wild
2826;13;7;local network code;Rastenfeld
2827;13;7;local network code;Schönbach
2828;13;7;local network code;Rappottenstein
2829;13;7;local network code;Schweiggers
2841;13;7;local network code;Vitis
2842;13;7;local network code;Waidhofen an der Thaya
2843;13;7;local network code;Dobersberg
2844;13;7;local network code;Karlstein an der Thaya
2845;13;7;local network code;Weikertschlag an der Thaya (Raabs an der Thaya)
2846;13;7;local network code;Raabs an der Thaya
2847;13;7;local network code;Groß-Siegharts
2848;13;7;local network code;Pfaffenschlag bei Waidhofen a.d.Thaya
2849;13;7;local network code;Schwarzenau
2852;13;7;local network code;Gmünd
2853;13;7;local network code;Schrems
2854;13;7;local network code;Kirchberg am Walde
2855;13;7;local network code;Waldenstein
2856;13;7;local network code;Weitra
2857;13;7;local network code;Bad Großpertholz
2858;13;7;local network code;Moorbad Harbach
2859;13;7;local network code;Brand-Nagelberg
2862;13;7;local network code;Heidenreichstein
2863;13;7;local network code;Eggern
2864;13;7;local network code;Kautzen
