prefix;maxDigits;minDigits;usage;info
115;3;3;Public Service Number for German administration;
1160;6;6;Harmonised European Services of Social Value;
1161;6;6;Harmonised European Services of Social Value;
137;10;10;Mass-traffic services;
15019;11;11;Mobile services;Tismi BV
1511;11;11;Mobile services;Telekom Deutschland GmbH
1512;11;11;Mobile services;Telekom Deutschland GmbH
1514;11;11;Mobile services;Telekom Deutschland GmbH
1515;11;11;Mobile services;Telekom Deutschland GmbH
1516;11;11;Mobile services;Telekom Deutschland GmbH
1517;11;11;Mobile services;Telekom Deutschland GmbH
15180;11;11;Mobile services;Telekom Deutschland GmbH
15181;11;11;Mobile services;Telekom Deutschland GmbH
1520;11;11;Mobile services;Vodafone GmbH
1521;11;11;Mobile services;Lycamobile Europe Ltd.
1522;11;11;Mobile services;Vodafone GmbH
1523;11;11;Mobile services;Vodafone GmbH
1525;11;11;Mobile services;Vodafone GmbH
1526;11;11;Mobile services;Vodafone GmbH
1529;11;11;Mobile services;Vodafone GmbH / MVNO Truphone GmbH
15310;11;11;Mobile services;MTEL Deutschland GmbH
15510;11;11;Mobile services;Lebara Limited
15511;11;11;Mobile services;Lebara Limited
15566;11;11;Mobile services;Drillisch Online AG
15630;11;11;Mobile services;multiConnect GmbH
15678;11;11;Mobile services;Argon Networks UG
15679;11;11;Mobile services;Argon Networks UG
1570;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH) / MVNO
1573;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
1575;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
1577;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
1578;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
1579;11;11;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH) / MVNO Sipgate Wireless GmbH
15888;11;11;Mobile services;TelcoVillage GmbH
1590;11;11;Mobile services;Telefónica Germany GmbH & Co. OHG
1600;10;10;Mobile services;Telekom Deutschland GmbH
1601;10;10;Mobile services;Telekom Deutschland GmbH
1602;10;10;Mobile services;Telekom Deutschland GmbH
1603;10;10;Mobile services;Telekom Deutschland GmbH
1604;10;10;Mobile services;Telekom Deutschland GmbH
1605;10;10;Mobile services;Telekom Deutschland GmbH
1606;10;10;Mobile services;Telekom Deutschland GmbH
1607;10;10;Mobile services;Telekom Deutschland GmbH
1608;10;10;Mobile services;Telekom Deutschland GmbH
1609;11;11;Mobile services;Telekom Deutschland GmbH
162;10;10;Mobile services;Vodafone GmbH
163;10;10;Mobile services;E-Plus Mobilfunk GmbH
164;13;4;Mobile paging services;e*Message Wireless Information Services Deutschland GmbH 
168;14;4;Mobile paging services;e*Message Wireless Information Services Deutschland GmbH 
169;14;4;Mobile paging services;e*Message Wireless Information Services Deutschland GmbH 
170;10;10;Mobile services;Telekom Deutschland GmbH
171;10;10;Mobile services;Telekom Deutschland GmbH
172;10;10;Mobile services;Vodafone GmbH
173;10;10;Mobile services;Vodafone GmbH
174;10;10;Mobile services;Vodafone GmbH
175;10;10;Mobile services;Telekom Deutschland GmbH
176;11;11;Mobile services;Telefónica Germany GmbH & Co. OHG
177;10;10;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
178;10;10;Mobile services;Telefónica Germany GmbH Co. OHG (former: E-Plus Mobilfunk GmbH)
179;10;10;Mobile services;Telefónica Germany GmbH & Co. OHG
180;10;8;Medium rate service;
181;14;8;International Virtual Private Networks (IVPN);
182;11;11;Virtual private networks;
183;11;11;Virtual private networks;
184;11;11;Virtual private networks;
185;11;11;Virtual private networks;
186;11;11;Virtual private networks;
187;11;11;Virtual private networks;
188;11;11;Virtual private networks;
189;11;11;Virtual private networks;
191;6;4;Online services;
192;6;4;Online services;
193;6;4;Online services;
194;6;6;Online services;
1986;7;7;Routing number for 115 public service number for German administration;
1987;7;7;Routing numbers for 1160 and 1161 numbers;
1988;6;6;Terminating operator codes for generation of routing numbers for International Freephone Services;
1989;6;6;Routing numbers for directory enquiry services and connecting services;
19890;7;7;Routing numbers for connecting services;
199;;;Routing number for internal traffic routing;
201;11;6;Geographic Area Code;Essen
202;11;6;Geographic Area Code;Wuppertal
203;11;6;Geographic Area Code;Duisburg
2041;11;6;Geographic Area Code;Bottrop
2043;11;6;Geographic Area Code;Gladbeck
2045;11;6;Geographic Area Code;Bottrop-Kirchhellen
2051;11;6;Geographic Area Code;Velbert
2052;11;6;Geographic Area Code;Velbert-Langenberg
2053;11;6;Geographic Area Code;Velbert-Neviges
2054;11;6;Geographic Area Code;Essen-Kettwig
2056;11;6;Geographic Area Code;Heiligenhaus
2058;11;6;Geographic Area Code;Wülfrath
2064;11;6;Geographic Area Code;Dinslaken
2065;11;6;Geographic Area Code;Duisburg-Rheinhausen
2066;11;6;Geographic Area Code;Duisburg-Homberg
208;11;6;Geographic Area Code;Oberhausen Rheinland
209;11;6;Geographic Area Code;Gelsenkirchen
2102;11;6;Geographic Area Code;Ratingen
2103;11;6;Geographic Area Code;Hilden
2104;11;6;Geographic Area Code;Mettmann
211;11;6;Geographic Area Code;Düsseldorf
212;11;6;Geographic Area Code;Solingen
2129;11;6;Geographic Area Code;Haan Rheinland
2131;11;6;Geographic Area Code;Neuss
2132;11;6;Geographic Area Code;Meerbusch-Büderich
2133;11;6;Geographic Area Code;Dormagen
2137;11;6;Geographic Area Code;Neuss-Norf
214;11;6;Geographic Area Code;Leverkusen
2150;11;6;Geographic Area Code;Meerbusch-Lank
2151;11;6;Geographic Area Code;Krefeld
2152;11;6;Geographic Area Code;Kempen
2153;11;6;Geographic Area Code;Nettetal-Lobberich
2154;11;6;Geographic Area Code;Willich
2156;11;6;Geographic Area Code;Willich-Anrath
2157;11;6;Geographic Area Code;Nettetal-Kaldenkirchen
2158;11;6;Geographic Area Code;Grefrath bei Krefeld
2159;11;6;Geographic Area Code;Meerbusch-Osterath
2161;11;6;Geographic Area Code;Mönchengladbach
2162;11;6;Geographic Area Code;Viersen
2163;11;6;Geographic Area Code;Schwalmtal Niederrhein
2164;11;6;Geographic Area Code;Jüchen-Otzenrath
2165;11;6;Geographic Area Code;Jüchen
2166;11;6;Geographic Area Code;Mönchengladbach-Rheydt
2171;11;6;Geographic Area Code;Leverkusen-Opladen
2173;11;6;Geographic Area Code;Langenfeld Rheinland
2174;11;6;Geographic Area Code;Burscheid Rheinland
2175;11;6;Geographic Area Code;Leichlingen Rheinland
2181;11;6;Geographic Area Code;Grevenbroich
2182;11;6;Geographic Area Code;Grevenbroich-Kapellen
2183;11;6;Geographic Area Code;Rommerskirchen
2191;11;6;Geographic Area Code;Remscheid
2192;11;6;Geographic Area Code;Hückeswagen
2193;11;6;Geographic Area Code;Dabringhausen
2195;11;6;Geographic Area Code;Radevormwald
2196;11;6;Geographic Area Code;Wermelskirchen
2202;11;6;Geographic Area Code;Bergisch Gladbach
2203;11;6;Geographic Area Code;Köln-Porz
2204;11;6;Geographic Area Code;Bensberg
2205;11;6;Geographic Area Code;Rösrath
2206;11;6;Geographic Area Code;Overath
2207;11;6;Geographic Area Code;Kürten-Dürscheid
2208;11;6;Geographic Area Code;Niederkassel
221;11;6;Geographic Area Code;Köln
2222;11;6;Geographic Area Code;Bornheim Rheinland
2223;11;6;Geographic Area Code;Königswinter
2224;11;6;Geographic Area Code;Bad Honnef
2225;11;6;Geographic Area Code;Meckenheim Rheinland
2226;11;6;Geographic Area Code;Rheinbach
2227;11;6;Geographic Area Code;Bornheim-Merten
2228;11;6;Geographic Area Code;Remagen-Rolandseck
2232;11;6;Geographic Area Code;Brühl Rheinland
2233;11;6;Geographic Area Code;Hürth Rheinland
2234;11;6;Geographic Area Code;Frechen
2235;11;6;Geographic Area Code;Erftstadt
2236;11;6;Geographic Area Code;Wesseling Rheinland
2237;11;6;Geographic Area Code;Kerpen Rheinland-Türnich
2238;11;6;Geographic Area Code;Pulheim
2241;11;6;Geographic Area Code;Siegburg
2242;11;6;Geographic Area Code;Hennef Sieg
2243;11;6;Geographic Area Code;Eitorf
2244;11;6;Geographic Area Code;Königswinter-Oberpleis
2245;11;6;Geographic Area Code;Much
2246;11;6;Geographic Area Code;Lohmar Rheinland
2247;11;6;Geographic Area Code;Neunkirchen-Seelscheid
2248;11;6;Geographic Area Code;Hennef-Uckerath
2251;11;6;Geographic Area Code;Euskirchen
2252;11;6;Geographic Area Code;Zülpich
2253;11;6;Geographic Area Code;Bad Münstereifel
2254;11;6;Geographic Area Code;Weilerswist
2255;11;6;Geographic Area Code;Euskirchen-Flamersheim
2256;11;6;Geographic Area Code;Mechernich-Satzvey
2257;11;6;Geographic Area Code;Reckerscheid
2261;11;6;Geographic Area Code;Gummersbach
2262;11;6;Geographic Area Code;Wiehl
2263;11;6;Geographic Area Code;Engelskirchen
2264;11;6;Geographic Area Code;Marienheide
2265;11;6;Geographic Area Code;Reichshof-Eckenhagen
2266;11;6;Geographic Area Code;Lindlar
2267;11;6;Geographic Area Code;Wipperfürth
2268;11;6;Geographic Area Code;Kürten
2269;11;6;Geographic Area Code;Kierspe-Rönsahl
2271;11;6;Geographic Area Code;Bergheim Erft
2272;11;6;Geographic Area Code;Bedburg Erft
2273;11;6;Geographic Area Code;Kerpen-Horrem
2274;11;6;Geographic Area Code;Elsdorf Rheinland
2275;11;6;Geographic Area Code;Kerpen-Buir
228;11;6;Geographic Area Code;Bonn
2291;11;6;Geographic Area Code;Waldbröl
2292;11;6;Geographic Area Code;Windeck Sieg
2293;11;6;Geographic Area Code;Nümbrecht
2294;11;6;Geographic Area Code;Morsbach Sieg
2295;11;6;Geographic Area Code;Ruppichteroth
2296;11;6;Geographic Area Code;Reichshof-Brüchermühle
2297;11;6;Geographic Area Code;Wildbergerhütte
2301;11;6;Geographic Area Code;Holzwickede
2302;11;6;Geographic Area Code;Witten
2303;11;6;Geographic Area Code;Unna
2304;11;6;Geographic Area Code;Schwerte
2305;11;6;Geographic Area Code;Castrop-Rauxel
2306;11;6;Geographic Area Code;Lünen
2307;11;6;Geographic Area Code;Kamen
2308;11;6;Geographic Area Code;Unna-Hemmerde
2309;11;6;Geographic Area Code;Waltrop
231;11;6;Geographic Area Code;Dortmund
2323;11;6;Geographic Area Code;Herne
2324;11;6;Geographic Area Code;Hattingen Ruhr
2325;11;6;Geographic Area Code;Wanne-Eickel
