"Country_Code";"Trunk_Prefix";"International_Prefix";"Comment"
"93";"0";"00";"Afghanistan"
"355";"0";"00";"Albania"
"213";"0";"00";"Algeria"
"1";"1";"011";"American Samoa"
"376";"";"00";"Andorra"
"244";"";"00";"Angola"
"1";"1";"011";"Anguilla"
"1";"1";"011";"Antigua and Barbuda"
"54";"0";"00";"Argentina"
"374";"0";"00";"Armenia"
"297";"";"00";"Aruba"
"247";"";"00";"Ascension"
"61";"0";"0011";"Australia"
"43";"0";"00";"Austria"
"994";"0";"00";"Azerbaijan"
"1";"1";"011";"Bahamas"
"973";"";"00";"Bahrain"
"880";"0";"00";"Bangladesh"
"1";"1";"011";"Barbados"
"375";"80";"810";"Belarus"
"32";"0";"00";"Belgium"
"501";"";"00";"Belize"
"229";"";"00";"Benin"
"1";"1";"011";"Bermuda"
"975";"";"00";"Bhutan"
"591";"0";"00";"Bolivia"
"387";"0";"00";"Bosnia and Herzegovina"
"267";"";"00";"Botswana"
"55";"0";"0014/0015/0021/0023/0031";"Brazil"
"1";"1";"011";"British Virgin Islands"
"673";"";"00";"Brunei"
"359";"0";"00";"Bulgaria"
"226";"";"00";"Burkina Faso"
"257";"";"00";"Burundi"
"855";"0";"001/007/008";"Cambodia"
"237";"";"00";"Cameroon"
"1";"1";"011";"Canada"
"238";"";"00";"Cape Verde"
"1";"1";"011";"Cayman Islands"
"236";"";"00";"Central African Republic"
"235";"";"00";"Chad"
"56";"";"1230/1200/1220/1810/1690/1710";"Chile"
"86";"0";"00";"China"
"57";"0";"005/007/009/00414/00468/00456/00444";"Colombia"
"269";"";"00";"Comoros"
"242";"";"00";"Congo"
"682";"";"00";"Cook Islands"
"506";"";"00";"Costa Rica"
"385";"0";"00";"Croatia"
"53";"0";"119";"Cuba"
"599";"0";"00";"Curacao"
"357";"";"00";"Cyprus"
"420";"";"00";"Czech Republic"
"243";"0";"00";"Democratic Republic of Congo"
"45";"";"00";"Denmark"
"246";"";"00";"Diego Garcia"
"253";"";"00";"Djibouti"
"1";"1";"011";"Dominica"
"1";"1";"011";"Dominican Republic"
"670";"";"00";"East Timor"
"593";"0";"00";"Ecuador"
"20";"0";"00";"Egypt"
"503";"";"00";"El Salvador"
"240";"";"00";"Equatorial Guinea"
"291";"0";"00";"Eritrea"
"372";"";"00";"Estonia"
"251";"0";"00";"Ethiopia"
"500";"";"00";"Falkland (Malvinas) Islands"
"298";"";"00";"Faroe Islands"
"679";"";"00";"Fiji"
"358";"0";"00/990/994/999";"Finland"
"33";"0";"00";"France"
"594";"0";"00";"French Guiana"
"689";"";"00";"French Polynesia"
"241";"";"00";"Gabon"
"220";"";"00";"Gambia"
"995";"0";"00";"Georgia"
"49";"0";"00";"Germany"
"233";"0";"00";"Ghana"
"350";"";"00";"Gibraltar"
"30";"";"00";"Greece"
"299";"";"00";"Greenland"
"1";"1";"011";"Grenada"
"590";"0";"00";"Guadeloupe"
"1";"1";"011";"Guam"
"502";"";"00";"Guatemala"
"224";"";"00";"Guinea"
"245";"";"00";"Guinea-Bissau"
"592";"";"001";"Guyana"
"509";"";"00";"Haiti"
"504";"";"00";"Honduras"
"852";"";"001";"Hong Kong"
"36";"06";"00";"Hungary"
"354";"";"00";"Iceland"
"91";"0";"00";"India"
"62";"0";"001/008/007/009";"Indonesia"
"870";"";"00";"Inmarsat Satellite"
"98";"0";"00";"Iran"
"964";"";"00";"Iraq"
"353";"0";"00";"Ireland"
"8816/8817";"";"00";"Iridium Satellite"
"972";"0";"00/012/013/014/018";"Israel"
"39";"";"00";"Italy"
